district,price,surface,rooms_num,floor_no,building_floors_num,construction_status,market,build_year,transit_dur_m
3,1212941.0,70.8,4.0,2.0,7.0,1,0,2025.0,66.51666666666667
3,867921.0,48.0,3.0,1.0,7.0,1,0,2025.0,66.51666666666667
3,1025790.0,66.18,4.0,1.0,5.0,1,0,2025.0,39.083333333333336
3,1800000.0,86.77,4.0,1.0,7.0,2,1,2022.0,56.88333333333333
7,642484.0,45.72,2.0,4.0,7.0,1,0,2025.0,46.45
7,850764.0,45.74,2.0,1.0,6.0,1,0,2025.0,21.833333333333332
0,643906.0,37.22,2.0,0.0,5.0,1,0,2025.0,54.53333333333333
10,1586655.0,83.95,4.0,1.0,3.0,1,0,2025.0,64.25
3,1149000.0,65.46,3.0,1.0,10.0,2,1,2013.0,54.05
11,1015575.0,77.53,4.0,1.0,4.0,1,0,2026.0,36.03333333333333
4,699000.0,42.88,2.0,5.0,2.0,2,1,1968.0,41.266666666666666
3,1460000.0,63.65,3.0,3.0,6.0,2,1,2020.0,55.28333333333333
6,1295272.0,90.58,5.0,0.0,5.0,1,0,2025.0,35.516666666666666
8,1268279.0,92.58,5.0,1.0,5.0,1,0,2025.0,44.4
9,599000.0,36.0,2.0,7.0,7.0,2,1,2008.0,54.6
6,830000.0,42.5,2.0,4.0,4.0,2,0,2025.0,44.483333333333334
13,750000.0,38.5,2.0,6.0,15.0,2,1,1969.0,29.85
13,949000.0,67.0,3.0,4.0,4.0,1,1,1953.0,36.166666666666664
2,1400000.0,80.8,3.0,2.0,3.0,2,1,2001.0,40.38333333333333
10,795000.0,56.0,2.0,9.0,10.0,2,1,2001.0,62.666666666666664
4,670000.0,37.7,2.0,10.0,12.0,2,1,1970.0,23.6
9,710000.0,50.86,2.0,2.0,4.0,2,1,1999.0,53.53333333333333
10,1586655.0,83.95,4.0,1.0,3.0,1,0,2025.0,64.25
7,1465914.0,82.82,4.0,1.0,5.0,1,0,2027.0,26.15
10,799000.0,94.0,3.0,1.0,1.0,1,0,2024.0,75.35
16,630000.0,32.0,1.0,3.0,4.0,0,1,1955.0,35.9
12,1290000.0,70.0,3.0,2.0,4.0,2,1,2015.0,62.88333333333333
15,1070000.0,55.4,2.0,1.0,4.0,2,1,1950.0,18.166666666666668
4,990000.0,65.3,3.0,3.0,12.0,2,1,1978.0,39.11666666666667
6,990000.0,55.5,2.0,3.0,14.0,2,1,2014.0,38.85
15,955000.0,49.23,3.0,8.0,14.0,0,1,1962.0,5.483333333333333
6,679000.0,53.35,2.0,2.0,4.0,0,1,1991.0,34.666666666666664
9,999000.0,51.4,3.0,3.0,8.0,2,1,2023.0,67.2
9,710000.0,50.86,2.0,2.0,4.0,2,1,1999.0,53.53333333333333
16,1100000.0,77.29,3.0,8.0,19.0,2,1,1986.0,35.1
13,599000.0,36.5,2.0,2.0,10.0,2,1,1966.0,33.56666666666667
1,967000.0,88.0,4.0,3.0,4.0,2,1,2001.0,58.45
13,1034621.0,56.26,3.0,0.0,7.0,1,1,2016.0,47.166666666666664
14,1127000.0,65.33,3.0,4.0,6.0,2,1,2024.0,41.11666666666667
14,859460.0,44.39,2.0,4.0,6.0,2,1,2024.0,41.11666666666667
9,689000.0,46.96,2.0,2.0,3.0,1,0,2025.0,59.68333333333333
3,1650000.0,80.82,4.0,8.0,8.0,2,1,2013.0,60.333333333333336
3,1920000.0,84.0,3.0,1.0,5.0,2,1,2012.0,48.266666666666666
9,550000.0,46.0,3.0,4.0,4.0,0,1,1969.0,55.18333333333333
9,1100000.0,60.0,3.0,3.0,3.0,2,1,2024.0,70.63333333333334
2,1290000.0,54.0,2.0,0.0,2.0,2,1,1970.0,35.11666666666667
3,830000.0,47.0,3.0,1.0,4.0,2,1,1969.0,52.833333333333336
6,995000.0,61.0,3.0,2.0,10.0,2,1,1970.0,33.483333333333334
9,999000.0,63.5,3.0,2.0,7.0,2,1,2019.0,65.95
11,816370.0,68.38,4.0,0.0,1.0,1,0,2027.0,60.61666666666667
6,745989.0,44.67,2.0,1.0,5.0,1,0,2026.0,40.15
15,743900.0,37.2,2.0,3.0,4.0,1,1,1950.0,27.883333333333333
2,740000.0,50.7,3.0,3.0,5.0,2,1,1998.0,53.483333333333334
6,1155000.0,79.72,1.0,5.0,5.0,1,0,2026.0,40.15
